key,Brand Names,Flavour
Kettle Mozzarella   Basil & Pesto ,Kettle,Mozzarella Basil & Pesto 
Kettle Tortilla ChpsHny&Jlpno Chili ,Kettle,Tortilla ChpsHny & Jlpno Chili 
Cobs Popd Swt/Chlli &Sr/Cream Chips ,Cobs Popd,Swt/Chlli &Sr/Cream Chips
Tyrrells Crisps     Ched & Chives ,Tyrrells Crisps,Ched & Chives 
Cobs Popd Sea Salt  Chips ,Cobs Popd,Sea Salt  Chips 
Kettle 135g Swt Pot Sea ,Kettle,Swt Pot Sea 
Tostitos Splash Of  Lime ,Tostitos,Splash Of  Lime
Infuzions Thai SweetChili PotatoMix ,Infuzions,Thai Sweet Chili Potato Mix 
Smiths Crnkle Chip  Orgnl Big Bag ,Smiths,Crnkle Chip  Orgnl Big Bag
Thins Potato Chips  Hot & Spicy ,Thins,Potato Chips Hot & Spicy 
Kettle Sensations   Camembert & Fig ,Kettle,Sensations Camembert & Fig 
Doritos Corn Chips  Cheese Supreme ,Doritos,Corn Chips Cheese Supreme 
Pringles Barbeque   ,Pringles,Barbeque 
Doritos Corn Chip Mexican Jalapeno ,Doritos,Corn Chips Mexican Jalapeno 
Kettle Sweet Chilli And Sour Cream ,Kettle,Sweet Chilli And Sour Cream
Smiths Crinkle Chips Salt & Vinegar ,Smiths,Crinkle Chips Salt & Vinegar 
Thins Chips Light&  Tangy ,Thins,Chips Light& Tangy 
Dorito Corn Chp     Supreme ,Doritos,Corn Chips  Supreme 
Pringles Sweet&Spcy BBQ ,Pringles,Sweet&Spcy BBQ 
Infuzions BBQ Rib   Prawn Crackers ,Infuzions,BBQ Rib Prawn Crackers
Tyrrells Crisps     Lightly Salted ,Tyrrells Crisps,Lightly Salted 
Kettle Sea Salt     And Vinegar ,Kettle,Sea Salt And Vinegar
Doritos Corn Chip Southern Chicken ,Doritos,Corn Chip Southern Chicken
Twisties Chicken,Twisties,Chicken
Twisties Cheese     Burger ,Twisties,Cheese Burger
Grain Waves         Sweet Chilli ,Grain Waves,Sweet Chilli 
Pringles SourCream  Onion ,Pringles,SourCream  Onion 
Doritos Corn Chips  Nacho Cheese ,Doritos,Corn Chips  Nacho Cheese
Kettle Original ,Kettle,Original 
Cobs Popd Sour Crm  &Chives Chips ,Cobs Popd,Sour Crm  &Chives Chips 
Pringles Original   Crisps ,Pringles,Original  Crisps
Cheezels Cheese ,Cheezels,Cheese
Kettle Honey Soy    Chicken ,Kettle,Honey Soy Chicken 
Kettle Tortilla ChpsBtroot&Ricotta ,Kettle,Tortilla ChpsBtroot & Ricotta 
Tostitos Smoked     Chipotle ,Tostitos,Smoked Chipotle
Infzns Crn Crnchers Tangy Gcamole ,Infuzions,Crn Crnchers Tangy Gcamole 
Smiths Crinkle      Original ,Smiths,Crinkle Original 
Kettle Tortilla ChpsFeta&Garlic ,Kettle,Tortilla ChpsFeta & Garlic 
Infuzions SourCream&Herbs Veg Strws ,Infuzions,SourCream & Herbs Veg Strws 
Kettle Sensations   Siracha Lime ,Kettle,Sensations Siracha Lime 
Old El Paso Salsa   Dip Chnky Tom Ht,Old El Paso Salsa Dip ,Chnky Tom Ht
Doritos Corn Chips  Original ,Doritos,Corn Chips  Original 
Twisties Cheese     ,Twisties,Cheese
Doritos Mexicana    ,Doritos,Mexicana
Thins Chips Seasonedchicken ,Thins,Chips Seasoned chicken 
Old El Paso Salsa   Dip Tomato Med ,Old El Paso Salsa Dip ,Tomato Med 
Pringles Mystery    Flavour ,Pringles,Mystery Flavour 
Grain Waves Sour    Cream&Chives ,Grain Waves,Cream & Chives
Pringles Chicken    Salt Crips ,Pringles,Chicken Salt Crips 
Thins Chips Salt &  Vinegar ,Thins,Chips Salt &  Vinegar 
Pringles Slt Vingar ,Pringles,Slt Vingar 
Old El Paso Salsa   Dip Tomato Mild ,Old El Paso Salsa Dip ,Tomato Mild 
Kettle Sensations   BBQ&Maple ,Kettle,Sensations BBQ & Maple
Pringles Sthrn FriedChicken ,Pringles,Sthrn Fried Chicken 
Tostitos Lightly    Salted ,Tostitos,Lightly Salted 
Doritos Cheese      Supreme ,Doritos,Cheese Supreme
Kettle Chilli ,Kettle,Chilli 
Smiths Chip Thinly  Cut Original ,Smiths,Chip Thinly  Cut Original
Snbts Whlgrn Crisps Cheddr&Mstrd,Sunbites,Whlgrn Crisps Cheddr&Mstrd
Natural Chip Co     Tmato Hrb&Spce ,Natural Chip Co  ,Tmato Hrb & Spce 
Burger Rings ,Burger,Rings
Natural ChipCo Sea  Salt & Vinegr ,Natural Chip Co  ,Salt & Vinegr 
