,PROD_NAME
Kettle Mozzarella   Basil & Pesto ,3304
Kettle Tortilla ChpsHny&Jlpno Chili ,3296
Cobs Popd Swt/Chlli &Sr/Cream Chips ,3269
Tyrrells Crisps     Ched & Chives ,3268
Cobs Popd Sea Salt  Chips ,3265
Kettle 135g Swt Pot Sea ,3257
Tostitos Splash Of  Lime ,3252
Infuzions Thai SweetChili PotatoMix ,3242
Smiths Crnkle Chip  Orgnl Big Bag ,3233
Thins Potato Chips  Hot & Spicy ,3229
Kettle Sensations   Camembert & Fig ,3219
Doritos Corn Chips  Cheese Supreme ,3217
Pringles Barbeque   ,3210
Doritos Corn Chip Mexican Jalapeno ,3204
Kettle Sweet Chilli And Sour Cream ,3200
Smiths Crinkle Chips Salt & Vinegar ,3197
Thins Chips Light&  Tangy ,3188
Dorito Corn Chp     Supreme ,3183
Pringles Sweet&Spcy BBQ ,3177
Infuzions BBQ Rib   Prawn Crackers ,3174
Tyrrells Crisps     Lightly Salted ,3174
Kettle Sea Salt     And Vinegar ,3173
Doritos Corn Chip Southern Chicken ,3172
Twisties Chicken,3170
Twisties Cheese     Burger ,3169
Grain Waves         Sweet Chilli ,3167
Pringles SourCream  Onion ,3162
Doritos Corn Chips  Nacho Cheese ,3160
Kettle Original ,3159
Cobs Popd Sour Crm  &Chives Chips ,3159
Pringles Original   Crisps ,3157
Cheezels Cheese ,3149
Kettle Honey Soy    Chicken ,3148
Kettle Tortilla ChpsBtroot&Ricotta ,3146
Tostitos Smoked     Chipotle ,3145
Infzns Crn Crnchers Tangy Gcamole ,3144
Smiths Crinkle      Original ,3142
Kettle Tortilla ChpsFeta&Garlic ,3138
Infuzions SourCream&Herbs Veg Strws ,3134
Kettle Sensations   Siracha Lime ,3127
Old El Paso Salsa   Dip Chnky Tom Ht,3125
Doritos Corn Chips  Original ,3121
Twisties Cheese     ,3115
Doritos Mexicana    ,3115
Thins Chips Seasonedchicken ,3114
Old El Paso Salsa   Dip Tomato Med ,3114
Pringles Mystery    Flavour ,3114
Grain Waves Sour    Cream&Chives ,3105
Pringles Chicken    Salt Crips ,3104
Thins Chips Salt &  Vinegar ,3103
Pringles Slt Vingar ,3095
Old El Paso Salsa   Dip Tomato Mild ,3085
Kettle Sensations   BBQ&Maple ,3083
Pringles Sthrn FriedChicken ,3083
Tostitos Lightly    Salted ,3074
Doritos Cheese      Supreme ,3052
Kettle Chilli ,3038
Smiths Chip Thinly  Cut Original ,1614
Snbts Whlgrn Crisps Cheddr&Mstrd,1576
Natural Chip Co     Tmato Hrb&Spce ,1572
Burger Rings ,1564
Natural ChipCo Sea  Salt & Vinegr ,1550
CCs Tasty Cheese    ,1539
RRD SR Slow Rst     Pork Belly ,1526
Smiths Thinly Cut   Roast Chicken ,1519
RRD Sweet Chilli &  Sour Cream ,1516
Woolworths Cheese   Rings ,1516
CCs Original ,1514
RRD Honey Soy       Chicken ,1513
Smith Crinkle Cut   Mac N Cheese ,1512
WW Supreme Cheese   Corn Chips ,1509
Infuzions Mango     Chutny Papadums,1507
RRD Chilli&         Coconut ,1506
Smiths Crinkle Cut  Snag&Sauce ,1503
Red Rock Deli Sp    Salt & Truffle ,1498
CCs Nacho Cheese    ,1498
WW Original Corn    Chips ,1495
Red Rock Deli Thai  Chilli&Lime ,1495
Woolworths Mild     Salsa ,1491
Smiths Crinkle Cut  Chips Barbecue ,1489
WW Original Stacked Chips ,1487
Smiths Crinkle Cut  Chips Chicken ,1484
WW Sour Cream &OnionStacked Chips ,1483
Smiths Crinkle Cut  Chips Chs&Onion,1481
Cheetos Chs & Bacon Balls ,1479
RRD Salt & Vinegar  ,1474
Smiths Chip Thinly  S/Cream&Onion ,1473
RRD Lime & Pepper   ,1473
Doritos Salsa Mild  ,1472
Smiths Crinkle Cut  Tomato Salsa ,1470
WW D/Style Chip     Sea Salt ,1469
Natural Chip        Compny SeaSalt,1468
GrnWves Plus Btroot & Chilli Jam ,1468
WW Crinkle Cut      Chicken ,1467
Smiths Thinly       Swt Chli&S/Cream,1461
Smiths Crinkle Cut  Chips Original ,1461
Natural ChipCo      Hony Soy Chckn,1460
Red Rock Deli SR    Salsa & Mzzrlla ,1458
Smiths Crinkle Cut  Salt & Vinegar ,1455
RRD Steak &         Chimuchurri ,1455
Cheezels Cheese Box ,1454
Smith Crinkle Cut   Bolognese ,1451
Doritos Salsa       Medium ,1449
Cheetos Puffs ,1448
Thins Chips         Originl saltd ,1441
Smiths Chip Thinly  CutSalt/Vinegr,1440
Smiths Crinkle Cut  French OnionDip ,1438
Red Rock Deli Chikn&Garlic Aioli ,1434
Sunbites Whlegrn    Crisps Frch/Onin,1432
RRD Pc Sea Salt     ,1431
Woolworths Medium   Salsa ,1430
NCC Sour Cream &    Garden Chives ,1419
French Fries Potato Chips ,1418
WW Crinkle Cut      Original ,1410
